index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.826317675668861,0.8714110182661443,partner-social_choice-star,0.8714110182661443,n/a,n/a
1,9.816924539686624,1.5,partner-social_feedback-informative,n/a,n/a,47
2,13.274384450823845,1.0600676528131316,partner-social_feedback-partner,n/a,1.0600676528131316,n/a
3,19.30176043590359,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,24.79670475946682,0.8323808304839986,partner-non_social_choice-star,0.8323808304839986,n/a,n/a
1,28.786214185149447,1.5,partner-non_social_feedback-informative,n/a,n/a,48
2,32.2757674937377,1.0762520341556865,partner-non_social_feedback-partner,n/a,1.0762520341556865,n/a
3,38.28792964107447,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,43.04676528130767,0.7568978442523076,partner-social_choice-pentagon,0.7568978442523076,n/a,n/a
1,47.036413669525245,1.5,partner-social_feedback-informative,n/a,n/a,50
2,53.53178548572896,1.1625353348813405,partner-social_feedback-partner,n/a,1.1625353348813405,n/a
3,58.54198350734123,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,63.300792452140286,1.4983046570732768,partner-social_choice-pentagon,1.4983046570732768,n/a,n/a
1,67.29037574738072,1.5,partner-social_feedback-informative,n/a,n/a,54
2,70.77992247353313,1.392954233786213,partner-social_feedback-partner,n/a,1.392954233786213,n/a
3,78.79575688870204,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,82.80344078550411,1.865959298604821,partner-social_choice-pentagon,1.865959298604821,n/a,n/a
1,86.79343365453178,1.5,partner-social_feedback-informative,n/a,n/a,61
2,90.2827174489405,1.637798175202306,partner-social_feedback-partner,n/a,1.637798175202306,n/a
3,95.29202025927498,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,100.05199283245884,1.1430494962608009,partner-social_choice-pentagon,1.1430494962608009,n/a,n/a
1,104.04164963156654,1.5,partner-social_feedback-informative,n/a,n/a,60
2,108.53305662723301,1.2929162019345313,partner-social_feedback-partner,n/a,1.2929162019345313,n/a
3,113.5432974346786,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,119.0535115466896,1.2589563182241363,partner-non_social_choice-pentagon,1.2589563182241363,n/a,n/a
