index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.782943462906587,0.0009010652975121047,partner-social_choice-pentagon,0.0009010652975121047,n/a,n/a
1,9.032557566333708,1.5,partner-social_feedback-informative,n/a,n/a,77
2,12.265456981628631,0.7513926468827776,partner-social_feedback-partner,n/a,0.7513926468827776,n/a
3,18.01536272449357,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,23.782299479144967,0.0009028937583934749,partner-non_social_choice-star,0.0009028937583934749,n/a,n/a
1,28.031981235607418,1.5,partner-non_social_feedback-informative,n/a,n/a,36
2,34.26479434757039,0.7511717688639692,partner-non_social_feedback-partner,n/a,0.7511717688639692,n/a
3,39.01466827522381,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,44.78154834760153,0.0008429202562183491,partner-social_choice-star,0.0008429202562183491,n/a,n/a
1,50.0312930031032,1.5,partner-social_feedback-informative,n/a,n/a,39
2,53.264098435532105,0.7517206726834047,partner-social_feedback-partner,n/a,0.7517206726834047,n/a
3,58.01412046848054,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,62.28089357592398,0.0008509654817316914,partner-non_social_choice-pentagon,0.0008509654817316914,n/a,n/a
1,69.53065395618523,1.5,partner-non_social_feedback-informative,n/a,n/a,82
2,72.76350839135284,0.7515776870786794,partner-non_social_feedback-partner,n/a,0.7515776870786794,n/a
3,80.51328431352795,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,84.78025562608127,0.0008509654826411861,partner-social_choice-star,0.0008509654826411861,n/a,n/a
1,89.02992933731821,1.5,partner-social_feedback-informative,n/a,n/a,38
2,92.26268211008664,0.751369242589135,partner-social_feedback-partner,n/a,0.751369242589135,n/a
3,97.01277508729981,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,102.7796218816975,0.0008597420919613796,partner-social_choice-pentagon,0.0008597420919613796,n/a,n/a
1,108.02917272039394,1.5,partner-social_feedback-informative,n/a,n/a,84
2,112.26213357195957,0.7513772878155578,partner-social_feedback-partner,n/a,0.7513772878155578,n/a
3,117.01213732030374,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,122.02884871720653,0.00084840563704347,partner-non_social_choice-pentagon,0.00084840563704347,n/a,n/a
1,126.27904171120463,1.5,partner-non_social_feedback-informative,n/a,n/a,83
2,132.51158859933003,0.7513374273785303,partner-non_social_feedback-partner,n/a,0.7513374273785303,n/a
3,137.26142303223787,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,142.27822987477612,0.0008378005668419064,partner-social_choice-star,0.0008378005668419064,n/a,n/a
1,147.54480477710877,1.5,partner-social_feedback-informative,n/a,n/a,35
2,151.7608706543433,0.751431044551282,partner-social_feedback-partner,n/a,0.751431044551282,n/a
3,159.5108374677866,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,165.27746374985782,0.0008378005668419064,partner-non_social_choice-star,0.0008378005668419064,n/a,n/a
1,169.5446021836933,1.5,partner-non_social_feedback-informative,n/a,n/a,35
2,172.76031114545367,0.7513048807822997,partner-non_social_feedback-partner,n/a,0.7513048807822997,n/a
3,178.52685185557675,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,184.27684719300214,0.0008469428685202729,partner-social_choice-pentagon,0.0008469428685202729,n/a,n/a
1,189.5269030524687,1.5,partner-social_feedback-informative,n/a,n/a,82
2,193.77613647043472,0.7513260909236124,partner-social_feedback-partner,n/a,0.7513260909236124,n/a
3,198.52617715367978,1.5,partner-social_feedback-affective,n/a,n/a,n/a
