index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.782939984515906,0.8409485279089495,partner-social_choice-star,0.8409485279089495,n/a,n/a
1,9.032923985311754,1.5,partner-social_feedback-informative,n/a,n/a,67
2,12.266028551356612,0.7716286385393687,partner-social_feedback-partner,n/a,0.7716286385393687,n/a
3,17.01602443727552,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,21.282590196199635,0.2279961572658067,partner-non_social_choice-pentagon,0.2279961572658067,n/a,n/a
1,26.532598698633592,1.5,partner-non_social_feedback-informative,n/a,n/a,69
2,29.765731057581434,0.963775973108568,partner-non_social_feedback-partner,n/a,0.963775973108568,n/a
3,34.515653438585105,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,n/a,n/a,partner-non_social_choice-pentagon_catch,0.4420636815866601,n/a,n/a
1,44.78211424272922,1.5,partner-non_social_feedback-informative_catch,n/a,n/a,74
2,0.0,0.0,partner-non_social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_catch,n/a,n/a,n/a
0,56.03193221749643,0.4501645815280426,partner-social_choice-star,0.4501645815280426,n/a,n/a
1,61.2818357651513,1.5,partner-social_feedback-informative,n/a,n/a,64
2,67.51488547678127,0.7509254853976017,partner-social_feedback-partner,n/a,0.7509254853976017,n/a
3,72.26480895487293,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,78.03144657307985,1.2432837169053528,partner-non_social_choice-pentagon,1.2432837169053528,n/a,n/a
1,83.28130440872246,1.5,partner-non_social_feedback-informative,n/a,n/a,71
2,87.51454867067605,0.7841892023834589,partner-non_social_feedback-partner,n/a,0.7841892023834589,n/a
3,92.26438511309698,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,96.53105253553531,0.9845727444499062,partner-social_choice-pentagon,0.9845727444499062,n/a,n/a
1,103.7809655912879,1.5,partner-social_feedback-informative,n/a,n/a,71
2,107.01409502466777,1.1172231525124516,partner-social_feedback-partner,n/a,1.1172231525124516,n/a
3,112.76397864188493,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,117.78060062658369,0.8136398061669752,partner-social_choice-star,0.8136398061669752,n/a,n/a
1,122.03059632965414,1.5,partner-social_feedback-informative,n/a,n/a,66
2,126.26370418696388,0.750950352732616,partner-social_feedback-partner,n/a,0.750950352732616,n/a
3,131.01366752593003,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,135.28028740787613,0.25090628635189205,partner-non_social_choice-pentagon,0.25090628635189205,n/a,n/a
1,140.53023557045435,1.5,partner-non_social_feedback-informative,n/a,n/a,72
2,146.7632874762612,0.8584328240040122,partner-non_social_feedback-partner,n/a,0.8584328240040122,n/a
3,151.51318864689165,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,155.77983485895584,0.35175539612009743,partner-non_social_choice-pentagon,0.35175539612009743,n/a,n/a
1,160.0298024034273,1.5,partner-non_social_feedback-informative,n/a,n/a,68
2,163.2629303740223,0.7509649805761001,partner-non_social_feedback-partner,n/a,0.7509649805761001,n/a
3,169.01282971617184,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,174.0294495066937,0.8278993940784858,partner-social_choice-pentagon,0.8278993940784858,n/a,n/a
1,178.27943094761667,1.5,partner-social_feedback-informative,n/a,n/a,69
2,184.51249748126793,1.0458337889294853,partner-social_feedback-partner,n/a,1.0458337889294853,n/a
3,192.26239645772057,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,66
2,195.7622690126309,1.4098239136728807,partner-non_social_feedback-partner,n/a,1.4098239136728807,n/a
3,201.5122275975482,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,214.02867167109525,0.42411202587936714,partner-non_social_choice-star,0.42411202587936714,n/a,n/a
1,219.27861471392862,1.5,partner-non_social_feedback-informative,n/a,n/a,67
2,223.51169514403136,1.2840456666654063,partner-non_social_feedback-partner,n/a,1.2840456666654063,n/a
