index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.783986606746112,0.5012742680501105,partner-non_social_choice-star,0.5012742680501105,n/a,n/a
1,8.766288378434183,1.5,partner-non_social_feedback-informative,n/a,n/a,39
2,15.26622456446512,1.479064081292563,partner-non_social_feedback-partner,n/a,1.479064081292563,n/a
3,21.282743788560765,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,25.283318662824968,0.7226531544401951,partner-non_social_choice-pentagon,0.7226531544401951,n/a,n/a
1,29.265835098121897,1.5,partner-non_social_feedback-informative,n/a,n/a,46
2,32.76593840726946,1.4661319702136097,partner-non_social_feedback-partner,n/a,1.4661319702136097,n/a
3,37.78242069605858,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,41.78288439870994,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,63.032862182672034,0.4467540997275137,partner-social_choice-star,0.4467540997275137,n/a,n/a
1,67.01507947856135,1.5,partner-social_feedback-informative,n/a,n/a,41
2,71.51512500772515,1.0534409991405482,partner-social_feedback-partner,n/a,1.0534409991405482,n/a
3,79.53156158450292,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,85.03252976491967,3.0,partner-social_choice-na_lapse,1.721756833305335,n/a,n/a
1,90.014457063804,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,94.5145022272718,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,104.28197436397204,0.38697631861759874,partner-social_choice-star,0.38697631861759874,n/a,n/a
1,109.26424212592337,1.5,partner-social_feedback-informative,n/a,n/a,41
2,115.76418452878806,1.231706144169948,partner-social_feedback-partner,n/a,1.231706144169948,n/a
3,123.78051797926582,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,129.28165803684806,0.8418302211985065,partner-social_choice-pentagon,0.8418302211985065,n/a,n/a
1,136.263884840836,1.5,partner-social_feedback-informative,n/a,n/a,41
2,140.76358880984571,0.9848660327206744,partner-social_feedback-partner,n/a,0.9848660327206744,n/a
3,148.78052456179557,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,154.28134097833208,3.0,partner-non_social_choice-na_lapse,0.6788954222529355,n/a,n/a
1,159.28012613589817,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,163.7635101851847,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,173.53083823762245,0.34524308002437465,partner-non_social_choice-star,0.34524308002437465,n/a,n/a
1,177.52985853777864,1.5,partner-non_social_feedback-informative,n/a,n/a,52
2,182.01310362254935,1.3857051589839102,partner-non_social_feedback-partner,n/a,1.3857051589839102,n/a
3,190.04633808384733,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,36
2,194.02927580104824,1.6613515176932196,partner-non_social_feedback-partner,n/a,1.6613515176932196,n/a
3,199.04573578237614,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,213.546780758973,3.0,partner-non_social_choice-na_lapse,2.1405136055400362,n/a,n/a
1,218.52869013874897,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,225.02913244817864,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,234.04641049167458,3.0,partner-social_choice-na_lapse,0.4607032116527989,n/a,n/a
1,238.02862522769192,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,242.52845536185487,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,252.29620542758857,0.000713838781848608,partner-non_social_choice-pentagon,0.000713838781848608,n/a,n/a
1,256.2781440630515,1.5,partner-non_social_feedback-informative,n/a,n/a,33
2,259.77841961506147,1.1443102624198218,partner-non_social_feedback-partner,n/a,1.1443102624198218,n/a
3,264.79464481949435,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,268.7955660079624,3.0,partner-non_social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,289.295403456048,3.0,partner-non_social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,n/a,n/a,partner-social_choice-star_catch,1.0489787753640485,n/a,n/a
1,314.777483798749,1.5,partner-social_feedback-informative_catch,n/a,n/a,48
2,0.0,0.0,partner-social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_catch,n/a,n/a,n/a
0,326.5445734173318,0.7331764253285655,partner-non_social_choice-pentagon,0.7331764253285655,n/a,n/a
1,333.52693808874756,1.5,partner-non_social_feedback-informative,n/a,n/a,31
2,337.02693498033113,2.733830655645761,partner-non_social_feedback-partner,n/a,2.733830655645761,n/a
3,342.04365131462237,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,346.794338366165,3.0,partner-social_choice-na_lapse,0.5231326551620441,n/a,n/a
1,350.77662587570467,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,354.2763430097739,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,363.2941121831291,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,383.54385884715794,0.31926549207491917,partner-social_choice-pentagon,0.31926549207491917,n/a,n/a
1,387.525949612198,1.5,partner-social_feedback-informative,n/a,n/a,31
2,391.02587555873833,1.3900777872167964,partner-social_feedback-partner,n/a,1.3900777872167964,n/a
3,396.0433989843159,1.5,partner-social_feedback-affective,n/a,n/a,n/a
