index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.815948387304388,0.7152594549465903,partner-social_choice-star,0.7152594549465903,n/a,n/a
1,11.797185686268222,1.5,partner-social_feedback-informative,n/a,n/a,78
2,15.28195833932159,1.061096257808913,partner-social_feedback-partner,n/a,1.061096257808913,n/a
3,21.299217303505657,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,n/a,n/a,partner-non_social_choice-star_catch,0.5281082134677035,n/a,n/a
1,33.03497285264962,1.5,partner-non_social_feedback-informative_catch,n/a,n/a,77
2,0.0,0.0,partner-non_social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_catch,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,76
2,44.78119458581591,1.1993661778424212,partner-non_social_feedback-partner,n/a,1.1993661778424212,n/a
3,49.798369440205306,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,61.29792237836159,0.6403443235581108,partner-non_social_choice-star,0.6403443235581108,n/a,n/a
1,68.28093731955255,1.5,partner-non_social_feedback-informative,n/a,n/a,73
2,72.78064677506586,1.1084391014001085,partner-non_social_feedback-partner,n/a,1.1084391014001085,n/a
3,78.78106878681842,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,82.79767169460388,0.5732126394345869,partner-social_choice-star,0.5732126394345869,n/a,n/a
1,86.78031472422413,1.5,partner-social_feedback-informative,n/a,n/a,76
2,93.28016753208317,1.1126398371052346,partner-social_feedback-partner,n/a,1.1126398371052346,n/a
3,98.28050579973592,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,103.04690327849016,0.4996271741924829,partner-social_choice-pentagon,0.4996271741924829,n/a,n/a
1,107.02985385740317,1.5,partner-social_feedback-informative,n/a,n/a,58
2,110.529678506766,1.0557465091692393,partner-social_feedback-partner,n/a,1.0557465091692393,n/a
3,118.52998605605876,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,123.29654334342263,0.5896136837127415,partner-social_choice-star,0.5896136837127415,n/a,n/a
1,130.27932826260962,1.5,partner-social_feedback-informative,n/a,n/a,81
2,134.77906660800932,1.0968231730530533,partner-social_feedback-partner,n/a,1.0968231730530533,n/a
3,139.79597889356114,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,143.79591453128364,0.5277597063618487,partner-social_choice-star,0.5277597063618487,n/a,n/a
1,147.77922787939838,1.5,partner-social_feedback-informative,n/a,n/a,82
2,151.2787811832493,1.3908344459596265,partner-social_feedback-partner,n/a,1.3908344459596265,n/a
3,156.29568834907445,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,160.2954744176402,0.40922852667836196,partner-non_social_choice-star,0.40922852667836196,n/a,n/a
1,167.27830687714572,1.5,partner-non_social_feedback-informative,n/a,n/a,82
2,170.7781951573968,1.1391918365225138,partner-non_social_feedback-partner,n/a,1.1391918365225138,n/a
3,176.79517619356352,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,180.7949564110129,0.5651746686166916,partner-non_social_choice-star,0.5651746686166916,n/a,n/a
1,185.77818308946985,1.5,partner-non_social_feedback-informative,n/a,n/a,77
2,190.277807703799,1.0562405627897533,partner-non_social_feedback-partner,n/a,1.0562405627897533,n/a
3,195.29507581035227,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,200.0444853047386,0.4163405583644817,partner-non_social_choice-star,0.4163405583644817,n/a,n/a
1,204.0274055309867,1.5,partner-non_social_feedback-informative,n/a,n/a,78
2,210.52707987980352,1.133438726562872,partner-non_social_feedback-partner,n/a,1.133438726562872,n/a
3,216.54423425528626,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,221.29417802971716,0.5353570149945881,partner-social_choice-pentagon,0.5353570149945881,n/a,n/a
1,225.27732974074775,1.5,partner-social_feedback-informative,n/a,n/a,55
2,228.7767832099296,1.0854116680761763,partner-social_feedback-partner,n/a,1.0854116680761763,n/a
3,236.7938823655038,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,241.54355077178047,0.33843258106253415,partner-non_social_choice-star,0.33843258106253415,n/a,n/a
1,245.54304976995968,1.5,partner-non_social_feedback-informative,n/a,n/a,82
2,249.0428799047438,1.1000562804233596,partner-non_social_feedback-partner,n/a,1.1000562804233596,n/a
3,257.04319111098425,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,261.0596656599089,0.38100457081873174,partner-social_choice-star,0.38100457081873174,n/a,n/a
1,266.04268389235244,1.5,partner-social_feedback-informative,n/a,n/a,80
2,269.54247380071297,1.089118715855875,partner-social_feedback-partner,n/a,1.089118715855875,n/a
3,277.5425963084574,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,281.55914728758694,0.36913631308698314,partner-non_social_choice-star,0.36913631308698314,n/a,n/a
1,285.5421081059533,1.5,partner-non_social_feedback-informative,n/a,n/a,82
2,289.0418943573661,1.0363094669960446,partner-non_social_feedback-partner,n/a,1.0363094669960446,n/a
3,295.0421499780034,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative,n/a,n/a,75
2,299.79178364327777,1.3432198911618798,partner-social_feedback-partner,n/a,1.3432198911618798,n/a
3,304.79215482345876,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,316.30840538434336,0.39920227345146486,partner-social_choice-star,0.39920227345146486,n/a,n/a
1,320.29143166207155,1.5,partner-social_feedback-informative,n/a,n/a,77
2,324.79105335084273,1.2026961943242895,partner-social_feedback-partner,n/a,1.2026961943242895,n/a
3,330.79134956359826,1.5,partner-social_feedback-affective,n/a,n/a,n/a
