index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.792756052134791,0.6109292598994216,partner-social_choice-star,0.6109292598994216,n/a,n/a
1,11.771209395687038,1.5,partner-social_feedback-informative,n/a,n/a,39
2,16.262835564855777,0.9926470023565344,partner-social_feedback-partner,n/a,0.9926470023565344,n/a
3,24.277921515607886,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,28.28625932563955,1.911964062575862,partner-non_social_choice-star,1.911964062575862,n/a,n/a
1,32.27544759960438,1.5,partner-non_social_feedback-informative,n/a,n/a,38
2,35.765774825737026,1.350476553383487,partner-non_social_feedback-partner,n/a,1.350476553383487,n/a
3,40.77494458830188,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,44.78310540271923,1.1206433571242087,partner-non_social_choice-pentagon,1.1206433571242087,n/a,n/a
1,51.76234754698453,1.5,partner-non_social_feedback-informative,n/a,n/a,45
2,58.27374310256346,1.1709353450387425,partner-non_social_feedback-partner,n/a,1.1709353450387425,n/a
3,64.28497208479166,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,69.02828272928673,0.0007251700553752016,partner-social_choice-pentagon,0.0007251700553752016,n/a,n/a
1,73.01713456530342,1.5,partner-social_feedback-informative,n/a,n/a,45
2,76.52610813335195,1.9529798711373587,partner-social_feedback-partner,n/a,1.9529798711373587,n/a
3,82.53535249737615,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,88.02961275626512,0.5972402580191556,partner-social_choice-star,0.5972402580191556,n/a,n/a
1,93.02156311264844,1.5,partner-social_feedback-informative,n/a,n/a,39
2,97.51277897379623,1.2579279591263912,partner-social_feedback-partner,n/a,1.2579279591263912,n/a
3,105.52823281213568,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,109.53623966961823,0.4713144594061305,partner-non_social_choice-pentagon,0.4713144594061305,n/a,n/a
1,113.5261549421084,1.5,partner-non_social_feedback-informative,n/a,n/a,38
2,118.01772808572787,1.250573498709855,partner-non_social_feedback-partner,n/a,1.250573498709855,n/a
3,123.04391319754723,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,127.78702417343084,0.4730957520696393,partner-social_choice-pentagon,0.4730957520696393,n/a,n/a
1,132.77717970649974,1.5,partner-social_feedback-informative,n/a,n/a,41
2,139.2740532105854,1.352793221216416,partner-social_feedback-partner,n/a,1.352793221216416,n/a
3,144.28311289943304,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,148.29157138829396,0.4761002892264514,partner-non_social_choice-star,0.4761002892264514,n/a,n/a
1,155.27004009097072,1.5,partner-non_social_feedback-informative,n/a,n/a,47
2,158.77644429702923,1.8489547202079848,partner-non_social_feedback-partner,n/a,1.8489547202079848,n/a
3,166.79152073975274,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,n/a,n/a,partner-non_social_choice-star_catch,0.7536012573982589,n/a,n/a
1,178.52972922962,1.5,partner-non_social_feedback-informative_catch,n/a,n/a,52
2,0.0,0.0,partner-non_social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_catch,n/a,n/a,n/a
0,192.2895600744705,0.5991605141789478,partner-social_choice-pentagon,0.5991605141789478,n/a,n/a
1,197.26446290058448,1.5,partner-social_feedback-informative,n/a,n/a,36
2,201.77278809419295,1.4766981979737466,partner-social_feedback-partner,n/a,1.4766981979737466,n/a
3,209.78767620480357,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,213.79587395425187,0.7413044503809942,partner-non_social_choice-pentagon,0.7413044503809942,n/a,n/a
