index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.783831304161367,0.6739985759897991,partner-non_social_choice-pentagon,0.6739985759897991,n/a,n/a
1,10.033855165657087,1.5,partner-non_social_feedback-informative,n/a,n/a,56
2,14.266047815877755,1.3855491124438686,partner-non_social_feedback-partner,n/a,1.3855491124438686,n/a
3,19.01515360403664,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,23.283086569506622,0.8212015149947547,partner-non_social_choice-star,0.8212015149947547,n/a,n/a
1,27.533273164575576,1.5,partner-non_social_feedback-informative,n/a,n/a,57
2,31.76548958486842,1.5789552212061153,partner-non_social_feedback-partner,n/a,1.5789552212061153,n/a
3,36.51489048761914,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,42.28308144979883,0.6728978387884581,partner-social_choice-pentagon,0.6728978387884581,n/a,n/a
1,49.531794300375395,1.5,partner-social_feedback-informative,n/a,n/a,63
2,53.764737353498504,1.5909832435618227,partner-social_feedback-partner,n/a,1.5909832435618227,n/a
3,59.51477712265819,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,64.53238343247881,0.4960828749060511,partner-social_choice-star,0.4960828749060511,n/a,n/a
1,68.78225845675183,1.5,partner-social_feedback-informative,n/a,n/a,51
2,73.01444159894322,1.4758684395969794,partner-social_feedback-partner,n/a,1.4758684395969794,n/a
3,78.76339013893039,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,83.78100449400631,0.47003489812323096,partner-social_choice-pentagon,0.47003489812323096,n/a,n/a
1,89.03059025478206,1.5,partner-social_feedback-informative,n/a,n/a,61
2,95.2636634947637,1.5652812127564175,partner-social_feedback-partner,n/a,1.5652812127564175,n/a
3,100.01339461867497,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,63
2,104.26343566776154,1.6953250849962842,partner-non_social_feedback-partner,n/a,1.6953250849962842,n/a
3,112.01345020407507,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,125.53075390258869,0.9155354245390299,partner-non_social_choice-pentagon,0.9155354245390299,n/a,n/a
1,132.7799509312565,1.5,partner-non_social_feedback-informative,n/a,n/a,64
2,136.01289764131388,1.4000477595609482,partner-non_social_feedback-partner,n/a,1.4000477595609482,n/a
3,141.77910727653102,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
