index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.782955709448743,0.8113095906364833,partner-non_social_choice-pentagon,0.8113095906364833,n/a,n/a
1,10.016190829000152,1.5,partner-non_social_feedback-informative,n/a,n/a,53
2,13.266011729336697,1.7311519317349848,partner-non_social_feedback-partner,n/a,1.7311519317349848,n/a
3,19.01595824628248,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,24.03253744453741,0.4973861871462759,partner-non_social_choice-pentagon,0.4973861871462759,n/a,n/a
1,31.265760861814215,1.5,partner-non_social_feedback-informative,n/a,n/a,56
2,35.515612114926626,1.2873226693914148,partner-non_social_feedback-partner,n/a,1.2873226693914148,n/a
3,40.26545221430797,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,44.53209294093176,0.7337008335312021,partner-non_social_choice-pentagon,0.7337008335312021,n/a,n/a
1,49.76535512199416,1.5,partner-non_social_feedback-informative,n/a,n/a,57
2,54.01521771168609,1.3953522220240302,partner-non_social_feedback-partner,n/a,1.3953522220240302,n/a
3,58.765065856381625,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,63.781695155002126,0.7496612739901138,partner-non_social_choice-pentagon,0.7496612739901138,n/a,n/a
1,68.01495916454542,1.5,partner-non_social_feedback-informative,n/a,n/a,56
2,71.26479761829432,2.0024735684005464,partner-non_social_feedback-partner,n/a,2.0024735684005464,n/a
3,79.01464027754855,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,84.78129179220696,0.7618265203541341,partner-social_choice-star,0.7618265203541341,n/a,n/a
1,89.01451996353262,1.5,partner-social_feedback-informative,n/a,n/a,52
2,92.26441217460797,1.326673763609051,partner-social_feedback-partner,n/a,1.326673763609051,n/a
3,98.01424276589114,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,103.78094730648354,0.6849871878371232,partner-social_choice-pentagon,0.6849871878371232,n/a,n/a
1,108.0141696266719,1.5,partner-social_feedback-informative,n/a,n/a,56
2,112.26399308688087,1.4376724028538774,partner-social_feedback-partner,n/a,1.4376724028538774,n/a
3,117.01384379144929,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,122.78045727371364,1.015181873468464,partner-social_choice-pentagon,1.015181873468464,n/a,n/a
1,130.03036264984848,1.5,partner-social_feedback-informative,n/a,n/a,61
2,133.26348184373728,1.4091671234818932,partner-social_feedback-partner,n/a,1.4091671234818932,n/a
3,138.01339691081876,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,143.02996330971064,0.9682579444734074,partner-non_social_choice-pentagon,0.9682579444734074,n/a,n/a
1,150.2799308541821,1.5,partner-non_social_feedback-informative,n/a,n/a,65
2,153.51311331349552,1.5260275054661179,partner-non_social_feedback-partner,n/a,1.5260275054661179,n/a
3,159.26295304718087,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,163.5296478968271,0.754349497954081,partner-non_social_choice-pentagon,0.754349497954081,n/a,n/a
1,167.779460386153,1.5,partner-non_social_feedback-informative,n/a,n/a,68
2,171.01275401708017,1.3332636072773312,partner-non_social_feedback-partner,n/a,1.3332636072773312,n/a
3,178.7625356050862,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,73
2,182.26250177819747,1.728252693077593,partner-non_social_feedback-partner,n/a,1.728252693077593,n/a
3,190.01231152480295,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,203.778683647643,0.817760469788027,partner-social_choice-pentagon,0.817760469788027,n/a,n/a
1,208.02867349957614,1.5,partner-social_feedback-informative,n/a,n/a,74
2,211.26184608509539,1.3445881183142774,partner-social_feedback-partner,n/a,1.3445881183142774,n/a
3,217.01178492242298,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,221.27838139981895,1.121824340805233,partner-non_social_choice-star,1.121824340805233,n/a,n/a
1,228.52835150416286,1.5,partner-non_social_feedback-informative,n/a,n/a,37
2,231.76141328376434,1.139631546554483,partner-non_social_feedback-partner,n/a,1.139631546554483,n/a
3,236.51138759361356,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,240.77796615190073,0.6898897097144072,partner-non_social_choice-pentagon,0.6898897097144072,n/a,n/a
1,245.0279841624333,1.5,partner-non_social_feedback-informative,n/a,n/a,71
