index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.782947851211247,1.32455538242084,partner-social_choice-star,1.32455538242084,n/a,n/a
1,11.765803474879249,1.5,partner-social_feedback-informative,n/a,n/a,40
2,18.265505984368247,0.9128310747582873,partner-social_feedback-partner,n/a,0.9128310747582873,n/a
3,23.282759702633484,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,28.032228077765467,0.5967429268757769,partner-non_social_choice-star,0.5967429268757769,n/a,n/a
1,32.015088821121935,1.5,partner-non_social_feedback-informative,n/a,n/a,41
2,36.515026470621706,1.2766760491067544,partner-non_social_feedback-partner,n/a,1.2766760491067544,n/a
3,41.532085640697915,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,45.53170093262452,0.8806841806353987,partner-non_social_choice-pentagon,0.8806841806353987,n/a,n/a
1,52.51446293911886,1.5,partner-non_social_feedback-informative,n/a,n/a,61
2,56.01421627980744,1.2610924465934659,partner-non_social_feedback-partner,n/a,1.2610924465934659,n/a
3,61.03123668652279,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,66.53105182917352,0.6950815511636392,partner-social_choice-pentagon,0.6950815511636392,n/a,n/a
1,70.51388441424024,1.5,partner-social_feedback-informative,n/a,n/a,60
2,74.01370138535094,1.2401148858261877,partner-social_feedback-partner,n/a,1.2401148858261877,n/a
3,79.03077189188207,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,83.78059023433889,0.5641275811913147,partner-social_choice-star,0.5641275811913147,n/a,n/a
1,87.76345536600093,1.5,partner-social_feedback-informative,n/a,n/a,36
2,91.26328477064362,1.2760507156408494,partner-social_feedback-partner,n/a,1.2760507156408494,n/a
3,96.28019949234658,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,100.27992961158725,0.3682197487623853,partner-non_social_choice-pentagon,0.3682197487623853,n/a,n/a
1,105.26282180446378,1.5,partner-non_social_feedback-informative,n/a,n/a,54
2,108.76273019859673,1.0761462344134998,partner-non_social_feedback-partner,n/a,1.0761462344134998,n/a
