index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.78361810489605,0.7049775628802308,partner-social_choice-star,0.7049775628802308,n/a,n/a
1,9.032593523349988,1.5,partner-social_feedback-informative,n/a,n/a,67
2,12.265840102013499,1.4456563118137638,partner-social_feedback-partner,n/a,1.4456563118137638,n/a
3,17.01567947117792,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,n/a,n/a,partner-non_social_choice-pentagon_catch,0.8358789861954392,n/a,n/a
1,25.533045703266453,1.5,partner-non_social_feedback-informative_catch,n/a,n/a,69
2,0.0,0.0,partner-non_social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_catch,n/a,n/a,n/a
0,37.78283222973141,0.5391089002100671,partner-non_social_choice-pentagon,0.5391089002100671,n/a,n/a
1,42.031886272271095,1.5,partner-non_social_feedback-informative,n/a,n/a,74
2,46.26503959911224,1.1197119359771932,partner-non_social_feedback-partner,n/a,1.1197119359771932,n/a
3,51.014855929590794,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,55.28210687682804,0.4254652808835999,partner-non_social_choice-pentagon,0.4254652808835999,n/a,n/a
1,60.53221667627804,1.5,partner-non_social_feedback-informative,n/a,n/a,74
2,66.76443492503813,1.4218866050523502,partner-non_social_feedback-partner,n/a,1.4218866050523502,n/a
3,71.51424394164815,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,77.28177043887945,0.7401590985800794,partner-social_choice-pentagon,0.7401590985800794,n/a,n/a
1,84.53140008286573,1.5,partner-social_feedback-informative,n/a,n/a,71
2,90.76389625862703,1.3108262440614453,partner-social_feedback-partner,n/a,1.3108262440614453,n/a
3,98.51301923437677,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,102.7812418290373,0.43614352881695595,partner-non_social_choice-pentagon,0.43614352881695595,n/a,n/a
1,108.03019494019236,1.5,partner-non_social_feedback-informative,n/a,n/a,71
2,111.26330694367698,0.9269344542080944,partner-non_social_feedback-partner,n/a,0.9269344542080944,n/a
3,116.02978353509206,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,121.78075399401177,0.5473508985637636,partner-non_social_choice-pentagon,0.5473508985637636,n/a,n/a
1,129.03009620296825,1.5,partner-non_social_feedback-informative,n/a,n/a,74
2,133.2628103320094,0.8770556998620123,partner-non_social_feedback-partner,n/a,0.8770556998620123,n/a
3,139.02920135116392,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,0.0,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,144.0124032238068,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,153.04663103106122,0.5498025072670316,partner-social_choice-pentagon,0.5498025072670316,n/a,n/a
1,157.29634112760095,1.5,partner-social_feedback-informative,n/a,n/a,68
2,160.5281680843991,1.123004639552164,partner-social_feedback-partner,n/a,1.123004639552164,n/a
3,168.27838850610942,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,174.04595303545648,0.45003622193371484,partner-social_choice-pentagon,0.45003622193371484,n/a,n/a
1,178.29508094806715,1.5,partner-social_feedback-informative,n/a,n/a,69
2,182.52719168296107,0.9355648189762178,partner-social_feedback-partner,n/a,0.9355648189762178,n/a
3,188.2781167958965,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,193.295458343679,0.3440805754257781,partner-non_social_choice-pentagon,0.3440805754257781,n/a,n/a
1,197.54412950520555,1.5,partner-non_social_feedback-informative,n/a,n/a,69
2,200.7778273495528,1.4736051630056863,partner-non_social_feedback-partner,n/a,1.4736051630056863,n/a
3,205.52688011216514,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,209.79504017325053,0.4779861702063499,partner-non_social_choice-pentagon,0.4779861702063499,n/a,n/a
1,214.04399474717957,1.5,partner-non_social_feedback-informative,n/a,n/a,72
2,217.27720292803406,1.0998010262087519,partner-non_social_feedback-partner,n/a,1.0998010262087519,n/a
3,222.02702364683364,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,227.79459475866224,1.0312188817756578,partner-social_choice-pentagon,1.0312188817756578,n/a,n/a
1,233.04468444497388,1.5,partner-social_feedback-informative,n/a,n/a,67
2,237.27656515870513,1.2921159057991645,partner-social_feedback-partner,n/a,1.2921159057991645,n/a
3,243.02635223370999,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,248.0442123347657,0.3881009211449964,partner-non_social_choice-pentagon,0.3881009211449964,n/a,n/a
1,253.29290397512386,1.5,partner-non_social_feedback-informative,n/a,n/a,65
2,257.52611435013887,0.7509466888473071,partner-non_social_feedback-partner,n/a,0.7509466888473071,n/a
3,263.2760381944836,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,267.5437191971855,0.40530716236162334,partner-social_choice-pentagon,0.40530716236162334,n/a,n/a
1,274.7926185514075,1.5,partner-social_feedback-informative,n/a,n/a,69
2,278.0257309205854,1.008919993958898,partner-social_feedback-partner,n/a,1.008919993958898,n/a
3,283.77586467295487,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,288.79310528935275,0.3232920014438605,partner-social_choice-pentagon,0.3232920014438605,n/a,n/a
1,293.04235388079314,1.5,partner-social_feedback-informative,n/a,n/a,70
2,296.27526548428204,1.1881134278601166,partner-social_feedback-partner,n/a,1.1881134278601166,n/a
3,304.0251428855622,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,308.29254376710287,0.7306079177747051,partner-social_choice-pentagon,0.7306079177747051,n/a,n/a
1,312.54141386585115,1.5,partner-social_feedback-informative,n/a,n/a,74
2,318.7747895342927,1.3460063169877685,partner-social_feedback-partner,n/a,1.3460063169877685,n/a
3,323.52444349689176,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,327.7921270594479,0.6285871324921573,partner-social_choice-pentagon,0.6285871324921573,n/a,n/a
1,332.04202658518034,1.5,partner-social_feedback-informative,n/a,n/a,73
2,335.27434430255107,1.6351553520512425,partner-social_feedback-partner,n/a,1.6351553520512425,n/a
3,341.02420780748116,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,53
2,344.52394066843635,1.4215099408270362,partner-non_social_feedback-partner,n/a,1.4215099408270362,n/a
3,350.273209921555,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,362.54117287388544,0.7798551195801338,partner-non_social_choice-pentagon,0.7798551195801338,n/a,n/a
1,366.78988097044794,1.5,partner-non_social_feedback-informative,n/a,n/a,76
2,373.0231853286723,1.0843775404264306,partner-non_social_feedback-partner,n/a,1.0843775404264306,n/a
3,378.77230501318127,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,72
2,383.02306391845605,1.4762973979813978,partner-non_social_feedback-partner,n/a,1.4762973979813978,n/a
3,388.78945822885134,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,400.2901861416085,0.38176125997460986,partner-social_choice-pentagon,0.38176125997460986,n/a,n/a
1,405.5559666355948,1.5,partner-social_feedback-informative,n/a,n/a,72
2,408.77248164310413,0.9883936221604017,partner-social_feedback-partner,n/a,0.9883936221604017,n/a
3,416.53882731627436,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,420.8064966167872,0.32721223493172147,partner-social_choice-pentagon,0.32721223493172147,n/a,n/a
1,425.05635079653484,1.5,partner-social_feedback-informative,n/a,n/a,71
2,431.2882329730396,1.2303173743503066,partner-social_feedback-partner,n/a,1.2303173743503066,n/a
3,436.03820472322286,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,440.3061351288393,0.3789498089436165,partner-social_choice-pentagon,0.3789498089436165,n/a,n/a
1,447.55557095531185,1.5,partner-social_feedback-informative,n/a,n/a,71
2,451.78846573690316,1.3966658267909224,partner-social_feedback-partner,n/a,1.3966658267909224,n/a
3,456.53793465863055,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,461.555393594002,0.30723732881415344,partner-non_social_choice-star,0.30723732881415344,n/a,n/a
1,468.80511246718333,1.5,partner-non_social_feedback-informative,n/a,n/a,56
2,473.0373800845555,1.1951972751453468,partner-non_social_feedback-partner,n/a,1.1951972751453468,n/a
3,477.786631053003,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,482.0545987593482,0.4528498671252237,partner-social_choice-pentagon,0.4528498671252237,n/a,n/a
1,487.30476487558553,1.5,partner-social_feedback-informative,n/a,n/a,70
2,490.53686207982264,1.3584735371441639,partner-social_feedback-partner,n/a,1.3584735371441639,n/a
3,496.28665793146956,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,501.3043761434774,0.5205232634043568,partner-non_social_choice-pentagon,0.5205232634043568,n/a,n/a
1,508.5541634013289,1.5,partner-non_social_feedback-informative,n/a,n/a,70
2,511.7863922551983,1.2633449757927337,partner-non_social_feedback-partner,n/a,1.2633449757927337,n/a
3,519.5362436922455,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,523.8025851599414,0.8128530998551469,partner-non_social_choice-pentagon,0.8128530998551469,n/a,n/a
1,529.0525684294671,1.5,partner-non_social_feedback-informative,n/a,n/a,68
2,533.2859184993695,1.7874542288973316,partner-non_social_feedback-partner,n/a,1.7874542288973316,n/a
3,538.0356657137913,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
