index,onset,duration,trial_type,choice_RT,partner_RT,points
0,0.0,0.0,partner-non_social_choice-na,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative,n/a,n/a,65
2,4.016238922729826,1.703154203941267,partner-non_social_feedback-partner,n/a,1.703154203941267,n/a
3,10.032963118856514,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,22.03225587036377,0.7876389492789713,partner-non_social_choice-pentagon,0.7876389492789713,n/a,n/a
1,27.015439885523847,1.5,partner-non_social_feedback-informative,n/a,n/a,62
2,30.515346085504007,1.0455615768787538,partner-non_social_feedback-partner,n/a,1.0455615768787538,n/a
3,35.53192693033316,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,40.281754049400206,0.5366984806591972,partner-social_choice-pentagon,0.5366984806591972,n/a,n/a
1,44.26503643573096,1.5,partner-social_feedback-informative,n/a,n/a,61
2,47.76483219670172,0.9614406951659475,partner-social_feedback-partner,n/a,0.9614406951659475,n/a
3,52.781381957703616,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,n/a,n/a,partner-non_social_choice-pentagon_catch,0.26579085850244155,n/a,n/a
1,60.76434948314909,1.5,partner-non_social_feedback-informative_catch,n/a,n/a,60
2,0.0,0.0,partner-non_social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_catch,n/a,n/a,n/a
0,73.53081888331553,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,91.03023907851457,0.4250409849400967,partner-social_choice-star,0.4250409849400967,n/a,n/a
1,95.01326036069713,1.5,partner-social_feedback-informative,n/a,n/a,37
2,99.51305209905468,1.1250019655949473,partner-social_feedback-partner,n/a,1.1250019655949473,n/a
3,105.52978434040688,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,109.52953347563653,0.45033517508045406,partner-non_social_choice-pentagon,0.45033517508045406,n/a,n/a
1,116.51258108764887,1.5,partner-non_social_feedback-informative,n/a,n/a,50
2,123.01231577804128,1.4271495655029867,partner-non_social_feedback-partner,n/a,1.4271495655029867,n/a
3,128.02903704863093,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
